view,time
HomePage,1732703451310
BookBorrow,1732703465233
SeatReserve,1732703495342
FloorSelect,1732703532518
TimeSelect,1732703621669
SeatSelect,1732703634142
TimeSelect,1732703638209
FloorSelect,1732703642045
TimeSelect,1732703646647
SeatSelect,1732703700515
InfoConfirm,1732703719081
