time,x,y
1732702118149.83,1153.24,1132.29
1732702118179.8,1007.0,1030.55
1732702118209.55,904.22,939.75
1732702118240.71,837.49,884.89
1732702118270.6,798.95,859.2
1732702118300.47,775.55,837.4
1732702118330.66,757.29,821.5
1732702118360.97,744.15,812.82
1732702118391.04,735.6,807.62
1732702118421.02,733.69,803.93
1732702118451.77,785.2,802.61
1732702118482.13,849.92,800.81
1732702118512.39,919.57,800.58
1732702118542.45,984.43,799.91
1732702118572.66,1033.42,799.22
1732702118610.91,1071.73,796.55
1732702118640.13,1096.75,796.87
1732702118663.04,1112.83,799.06
1732702118693.63,1124.14,800.21
1732702118724.24,1132.74,799.98
1732702118753.39,1138.88,800.1
1732702118783.65,1140.25,802.11
1732702118814.88,1142.51,804.39
1732702118844.97,1144.94,806.1
1732702118875.35,1139.04,804.99
1732702118904.87,1134.76,802.9
1732702118935.15,1132.3,801.07
1732702118964.83,1129.69,798.64
1732702118995.58,1126.05,796.49
1732702119025.52,1122.74,793.42
1732702119055.57,1120.45,791.13
1732702119086.34,1118.37,789.72
1732702119115.89,1122.18,789.7
1732702119146.48,1132.12,793.04
1732702119176.11,1149.08,798.0
1732702119207.43,1169.69,801.66
1732702119236.53,1189.76,805.28
1732702119267.45,1207.86,808.84
1732702119297.24,1224.66,811.77
1732702119328.12,1230.84,816.38
1732702119357.99,1231.35,821.26
1732702119388.45,1231.28,823.74
1732702119418.23,1231.07,827.19
1732702119448.38,1230.33,830.33
1732702119478.8,1228.98,832.67
1732702119509.11,1229.88,834.63
1732702119538.99,1229.14,837.17
1732702119568.84,1186.26,844.22
1732702119599.16,1076.06,841.94
1732702119630.84,971.95,839.15
1732702119660.47,894.19,834.0
1732702119689.93,981.34,837.12
1732702119720.79,1077.68,839.94
1732702119750.22,1285.71,845.61
1732702119780.73,1463.4,851.9
1732702119811.36,1565.19,856.38
1732702119841.62,1624.4,852.77
1732702119871.84,1646.04,856.39
1732702119902.26,1642.36,856.44
1732702119932.32,1640.33,858.45
1732702119962.53,1641.89,859.12
1732702119992.49,1641.52,860.91
1732702120022.59,1635.35,873.17
1732702120052.83,1598.48,955.98
1732702120082.57,1533.28,1101.37
1732702120112.87,1483.46,1206.92
1732702120143.55,1453.22,1270.34
1732702120172.96,1434.74,1308.39
1732702120203.27,1423.58,1330.39
1732702120234.31,1429.83,1341.12
1732702120263.25,1423.16,1348.08
1732702120294.79,1349.62,1313.28
1732702120324.94,1227.76,1218.19
1732702120354.57,1040.33,1056.58
1732702120385.37,904.55,942.35
1732702120414.93,831.01,885.32
1732702120445.69,786.8,854.88
1732702120475.23,765.64,831.82
1732702120506.13,754.67,814.1
1732702120536.22,755.33,816.56
1732702120566.34,760.57,821.23
1732702120596.53,763.49,824.84
1732702120626.82,765.3,827.25
1732702120657.33,766.12,828.39
1732702120687.05,779.41,836.86
1732702120717.09,908.4,950.75
1732702120747.14,1101.89,1118.96
1732702120777.85,1221.26,1222.87
1732702120807.81,1285.03,1273.42
1732702120838.36,1317.39,1301.26
1732702120868.22,1326.83,1315.94
1732702120898.15,1332.09,1326.06
1732702120929.11,1272.42,1271.41
1732702120959.58,1208.33,1206.47
1732702120988.59,1060.49,1055.28
1732702121024.14,941.67,934.76
