participant,session,view_instance,view,view_instance_id,FD,NFD,NKFD,KFD,AFD,NAFD,NAKFD,AKFD,FC,NFC,NKFC,KFC,NAKFC,AKFC,SD,NSD,NKSD,KSD,ASD,NASD,NAKSD,AKSD,SC,NSC,NKSC,KSC,NAKSC,AKSC,ASW,NASW,ARG,NARG,AED,VSW,NVSW,VRG,NVRG,VED,CA,IOU,isKeyAOI,issue,search,read,operate
P5,P5,split_data_01,HomePage,1,241.159912109375,0.26547769488653805,0.26547769488653805,241.159912109375,241.159912109375,0.26547769488653805,4.513120813071146,241.159912109375,1.0,0.3333333333333333,0.3333333333333333,1.0,5.666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8333333333333334,1,0.2,4,7,0.5,0,0.0,0,17.322169099999993,0.021058805746869916,1,1,1,0,0
P5,P5,split_data_01,HomePage,1,121.22998046875,0.13345441820938797,0.26547769488653805,241.159912109375,121.22998046875,0.13345441820938797,4.513120813071146,241.159912109375,1.0,0.3333333333333333,0.3333333333333333,1.0,5.666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.8333333333333334,1,0.2,4,7,0.5,0,0.0,0,17.322169099999993,0.021058805746869916,0,1,1,0,0
P5,P5,split_data_01,HomePage,1,546.010009765625,0.601067886904074,0.26547769488653805,241.159912109375,546.010009765625,0.601067886904074,4.513120813071146,241.159912109375,1.0,0.3333333333333333,0.3333333333333333,1.0,5.666666666666666,1.0,753.5400390625,1.0,0.0,0.0,376.77001953125,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5,0.8333333333333334,1,0.2,4,7,0.5,0,0.0,0,17.322169099999993,0.021058805746869916,0,0,1,0,0
P5,P5,split_data_02,BookBorrow,2,392.39990234375,0.13866801164408563,0.14806091084316436,418.979736328125,392.39990234375,0.18886040073510404,1.4806091084316435,209.4898681640625,1.0,0.08333333333333333,0.16666666666666666,2.0,1.6666666666666667,1.0,0.0,0.0,0.8057218063912438,4140.5400390625,0.0,0.0,8.057218063912437,2070.27001953125,0.0,0.0,0.3333333333333333,1.0,3.3333333333333335,0.5,10,0.8333333333333334,1,0.1,8,7,0.5,0,0.0,0,180.87263991999998,0.3793956342948657,0,0,1,0,0
P5,P5,split_data_02,BookBorrow,2,268.599853515625,0.09491900327303338,0.14806091084316436,418.979736328125,268.599853515625,0.12927596482404974,1.4806091084316435,209.4898681640625,1.0,0.08333333333333333,0.16666666666666666,2.0,1.6666666666666667,1.0,4140.5400390625,0.8057218063912438,0.8057218063912438,4140.5400390625,4140.5400390625,0.8057218063912438,8.057218063912437,2070.27001953125,1.0,0.3333333333333333,0.3333333333333333,1.0,3.3333333333333335,0.5,10,0.8333333333333334,1,0.1,8,7,0.5,0,0.0,0,180.87263991999998,0.3793956342948657,1,0,1,0,0
P5,P5,split_data_02,BookBorrow,2,150.8701171875,0.05331514876008744,0.14806091084316436,418.979736328125,150.8701171875,0.0726131444498235,1.4806091084316435,209.4898681640625,1.0,0.08333333333333333,0.16666666666666666,2.0,1.6666666666666667,1.0,0.0,0.0,0.8057218063912438,4140.5400390625,0.0,0.0,8.057218063912437,2070.27001953125,0.0,0.0,0.3333333333333333,1.0,3.3333333333333335,0.5,10,0.8333333333333334,1,0.1,8,7,0.5,0,0.0,0,180.87263991999998,0.3793956342948657,0,1,1,0,0
P5,P5,split_data_02,BookBorrow,2,297.590087890625,0.10516370041456237,0.14806091084316436,418.979736328125,148.7950439453125,0.0716144205415517,1.4806091084316435,209.4898681640625,2.0,0.16666666666666666,0.16666666666666666,2.0,1.6666666666666667,1.0,0.0,0.0,0.8057218063912438,4140.5400390625,0.0,0.0,8.057218063912437,2070.27001953125,0.0,0.0,0.3333333333333333,1.0,3.3333333333333335,0.5,10,0.8333333333333334,1,0.1,8,7,0.5,0,0.0,0,180.87263991999998,0.3793956342948657,0,1,1,0,0
P5,P5,split_data_02,BookBorrow,2,242.14013671875,0.08556855161651372,0.14806091084316436,418.979736328125,242.14013671875,0.11654101589121964,1.4806091084316435,209.4898681640625,1.0,0.08333333333333333,0.16666666666666666,2.0,1.6666666666666667,1.0,0.0,0.0,0.8057218063912438,4140.5400390625,0.0,0.0,8.057218063912437,2070.27001953125,0.0,0.0,0.3333333333333333,1.0,3.3333333333333335,0.5,10,0.8333333333333334,1,0.1,8,7,0.5,0,0.0,0,180.87263991999998,0.3793956342948657,0,1,1,0,0
P5,P5,split_data_02,BookBorrow,2,785.409912109375,0.27755162574519376,0.14806091084316436,418.979736328125,392.7049560546875,0.1890072217861524,1.4806091084316435,209.4898681640625,2.0,0.16666666666666666,0.16666666666666666,2.0,1.6666666666666667,1.0,904.320068359375,0.17597472604065073,0.8057218063912438,4140.5400390625,904.320068359375,0.17597472604065073,8.057218063912437,2070.27001953125,1.0,0.3333333333333333,0.3333333333333333,1.0,3.3333333333333335,0.5,10,0.8333333333333334,1,0.1,8,7,0.5,0,0.0,0,180.87263991999998,0.3793956342948657,0,1,1,0,0
P5,P5,split_data_02,BookBorrow,2,421.10986328125,0.1488136645196435,0.14806091084316436,418.979736328125,210.554931640625,0.10133919129155523,1.4806091084316435,209.4898681640625,2.0,0.16666666666666666,0.16666666666666666,2.0,1.6666666666666667,1.0,0.0,0.0,0.8057218063912438,4140.5400390625,0.0,0.0,8.057218063912437,2070.27001953125,0.0,0.0,0.3333333333333333,1.0,3.3333333333333335,0.5,10,0.8333333333333334,1,0.1,8,7,0.5,0,0.0,0,180.87263991999998,0.3793956342948657,0,1,1,0,0
P5,P5,split_data_02,BookBorrow,2,0.0,0.0,0.14806091084316436,418.979736328125,0.0,0.0,1.4806091084316435,209.4898681640625,0.0,0.0,0.16666666666666666,2.0,1.6666666666666667,1.0,94.06005859375,0.018303467568105438,0.8057218063912438,4140.5400390625,94.06005859375,0.018303467568105438,8.057218063912437,2070.27001953125,1.0,0.3333333333333333,0.3333333333333333,1.0,3.3333333333333335,0.5,10,0.8333333333333334,1,0.1,8,7,0.5,0,0.0,0,180.87263991999998,0.3793956342948657,0,1,1,0,0
P5,P5,split_data_02,BookBorrow,2,150.3798828125,0.05314190757013097,0.14806091084316436,418.979736328125,150.3798828125,0.07237719673433321,1.4806091084316435,209.4898681640625,1.0,0.08333333333333333,0.16666666666666666,2.0,1.6666666666666667,1.0,0.0,0.0,0.8057218063912438,4140.5400390625,0.0,0.0,8.057218063912437,2070.27001953125,0.0,0.0,0.3333333333333333,1.0,3.3333333333333335,0.5,10,0.8333333333333334,1,0.1,8,7,0.5,0,0.0,0,180.87263991999998,0.3793956342948657,1,1,1,0,0
P5,P5,split_data_02,BookBorrow,2,121.27978515625,0.04285838645674919,0.14806091084316436,418.979736328125,121.27978515625,0.0583714437462105,1.4806091084316435,209.4898681640625,1.0,0.08333333333333333,0.16666666666666666,2.0,1.6666666666666667,1.0,0.0,0.0,0.8057218063912438,4140.5400390625,0.0,0.0,8.057218063912437,2070.27001953125,0.0,0.0,0.3333333333333333,1.0,3.3333333333333335,0.5,10,0.8333333333333334,1,0.1,8,7,0.5,0,0.0,0,180.87263991999998,0.3793956342948657,0,0,1,0,0
P5,P5,split_data_03,SeatReserve,3,151.60986328125,0.016569655864133913,1.0,9149.849853515625,151.60986328125,0.38401149027229176,4.2,1829.969970703125,1.0,0.02631578947368421,1.0,38.0,4.2,7.6,6071.830078125,0.3395055970499445,1.0,17884.329833984375,6071.830078125,0.7825198882226637,4.2,3576.865966796875,1.0,0.125,1.0,8.0,4.2,1.6,3,0.375,1,0.3333333333333333,3,7,0.5,0,0.0,0,100.01477708000002,0.1746945167999855,1,0,0,1,0
P5,P5,split_data_03,SeatReserve,3,8998.239990234375,0.983430344135866,1.0,9149.849853515625,243.19567541173987,0.6159885097277081,4.2,1829.969970703125,37.0,0.9736842105263158,1.0,38.0,4.2,7.6,11812.499755859375,0.6604944029500555,1.0,17884.329833984375,1687.499965122768,0.21748011177733625,4.2,3576.865966796875,7.0,0.875,1.0,8.0,4.2,1.6,3,0.375,1,0.3333333333333333,3,7,0.5,0,0.0,0,100.01477708000002,0.1746945167999855,1,0,0,1,0
P5,P5,split_data_04,FloorSelect,4,119.760009765625,0.018775661244794836,0.5885220198546157,3753.87060546875,119.760009765625,0.05747717058381575,2.1859389308885726,536.2672293526786,1.0,0.03225806451612903,0.5161290322580645,16.0,1.9170506912442395,2.2857142857142856,3198.590087890625,0.177728774285742,0.7567104137123319,13618.5400390625,3198.590087890625,0.4772241470159175,2.810638679502947,1945.5057198660713,1.0,0.08333333333333333,0.6666666666666666,8.0,2.476190476190476,1.1428571428571428,24,0.7741935483870968,12,0.5,21,7,0.5,0,0.0,0,281.21243999999996,0.35989200192453746,0,0,0,1,0
P5,P5,split_data_04,FloorSelect,4,121.3701171875,0.019028089677123942,0.5885220198546157,3753.87060546875,121.3701171875,0.05824991950999311,2.1859389308885726,536.2672293526786,1.0,0.03225806451612903,0.5161290322580645,16.0,1.9170506912442395,2.2857142857142856,0.0,0.0,0.7567104137123319,13618.5400390625,0.0,0.0,2.810638679502947,1945.5057198660713,0.0,0.0,0.6666666666666666,8.0,2.476190476190476,1.1428571428571428,24,0.7741935483870968,12,0.5,21,7,0.5,0,0.0,0,281.21243999999996,0.35989200192453746,0,0,0,1,0
P5,P5,split_data_04,FloorSelect,4,697.820068359375,0.10940240601997603,0.5885220198546157,3753.87060546875,174.45501708984375,0.0837272875653486,2.1859389308885726,536.2672293526786,4.0,0.12903225806451613,0.5161290322580645,16.0,1.9170506912442395,2.2857142857142856,998.699951171875,0.05549248679066038,0.7567104137123319,13618.5400390625,499.3499755859375,0.0745021586428323,2.810638679502947,1945.5057198660713,2.0,0.16666666666666666,0.6666666666666666,8.0,2.476190476190476,1.1428571428571428,24,0.7741935483870968,12,0.5,21,7,0.5,0,0.0,0,281.21243999999996,0.35989200192453746,0,1,0,1,0
P5,P5,split_data_04,FloorSelect,4,447.0400390625,0.07008576863615579,0.5885220198546157,3753.87060546875,223.52001953125,0.10727536108788023,2.1859389308885726,536.2672293526786,2.0,0.06451612903225806,0.5161290322580645,16.0,1.9170506912442395,2.2857142857142856,0.0,0.0,0.7567104137123319,13618.5400390625,0.0,0.0,2.810638679502947,1945.5057198660713,0.0,0.0,0.6666666666666666,8.0,2.476190476190476,1.1428571428571428,24,0.7741935483870968,12,0.5,21,7,0.5,0,0.0,0,281.21243999999996,0.35989200192453746,0,1,0,1,0
P5,P5,split_data_04,FloorSelect,4,481.090087890625,0.07542404627505007,0.5885220198546157,3753.87060546875,240.5450439453125,0.11544628754618429,2.1859389308885726,536.2672293526786,2.0,0.06451612903225806,0.5161290322580645,16.0,1.9170506912442395,2.2857142857142856,0.0,0.0,0.7567104137123319,13618.5400390625,0.0,0.0,2.810638679502947,1945.5057198660713,0.0,0.0,0.6666666666666666,8.0,2.476190476190476,1.1428571428571428,24,0.7741935483870968,12,0.5,21,7,0.5,0,0.0,0,281.21243999999996,0.35989200192453746,0,1,0,1,0
P5,P5,split_data_04,FloorSelect,4,1874.43017578125,0.2938682626727015,0.5885220198546157,3753.87060546875,267.77573939732144,0.12851528554204367,2.1859389308885726,536.2672293526786,7.0,0.22580645161290322,0.5161290322580645,16.0,1.9170506912442395,2.2857142857142856,11957.760009765625,0.664429630350114,0.7567104137123319,13618.5400390625,1992.9600016276042,0.29734620901072994,2.810638679502947,1945.5057198660713,6.0,0.5,0.6666666666666666,8.0,2.476190476190476,1.1428571428571428,24,0.7741935483870968,12,0.5,21,7,0.5,0,0.0,0,281.21243999999996,0.35989200192453746,1,1,0,1,0
P5,P5,split_data_04,FloorSelect,4,971.120361328125,0.15224971146798635,0.5885220198546157,3753.87060546875,194.224072265625,0.0932151738709941,2.1859389308885726,536.2672293526786,5.0,0.16129032258064516,0.5161290322580645,16.0,1.9170506912442395,2.2857142857142856,0.0,0.0,0.7567104137123319,13618.5400390625,0.0,0.0,2.810638679502947,1945.5057198660713,0.0,0.0,0.6666666666666666,8.0,2.476190476190476,1.1428571428571428,24,0.7741935483870968,12,0.5,21,7,0.5,0,0.0,0,281.21243999999996,0.35989200192453746,1,1,0,1,0
P5,P5,split_data_04,FloorSelect,4,908.320068359375,0.1424040457139279,0.5885220198546157,3753.87060546875,227.08001708984375,0.1089839329839055,2.1859389308885726,536.2672293526786,4.0,0.12903225806451613,0.5161290322580645,16.0,1.9170506912442395,2.2857142857142856,1660.780029296875,0.0922807833622179,0.7567104137123319,13618.5400390625,830.3900146484375,0.12389276385598759,2.810638679502947,1945.5057198660713,2.0,0.16666666666666666,0.6666666666666666,8.0,2.476190476190476,1.1428571428571428,24,0.7741935483870968,12,0.5,21,7,0.5,0,0.0,0,281.21243999999996,0.35989200192453746,1,1,0,1,0
P5,P5,split_data_04,FloorSelect,4,240.760009765625,0.03774572491685268,0.5885220198546157,3753.87060546875,120.3800048828125,0.057774728718467366,2.1859389308885726,536.2672293526786,2.0,0.06451612903225806,0.5161290322580645,16.0,1.9170506912442395,2.2857142857142856,0.0,0.0,0.7567104137123319,13618.5400390625,0.0,0.0,2.810638679502947,1945.5057198660713,0.0,0.0,0.6666666666666666,8.0,2.476190476190476,1.1428571428571428,24,0.7741935483870968,12,0.5,21,7,0.5,0,0.0,0,281.21243999999996,0.35989200192453746,0,1,0,1,0
P5,P5,split_data_04,FloorSelect,4,244.52001953125,0.038335209418187105,0.5885220198546157,3753.87060546875,122.260009765625,0.05867701122127688,2.1859389308885726,536.2672293526786,2.0,0.06451612903225806,0.5161290322580645,16.0,1.9170506912442395,2.2857142857142856,181.199951171875,0.010068325211265666,0.7567104137123319,13618.5400390625,181.199951171875,0.027034721474532647,2.810638679502947,1945.5057198660713,1.0,0.08333333333333333,0.6666666666666666,8.0,2.476190476190476,1.1428571428571428,24,0.7741935483870968,12,0.5,21,7,0.5,0,0.0,0,281.21243999999996,0.35989200192453746,0,1,0,1,0
P5,P5,split_data_04,FloorSelect,4,272.239990234375,0.04268107395724379,0.5885220198546157,3753.87060546875,272.239990234375,0.13065784137009037,2.1859389308885726,536.2672293526786,1.0,0.03225806451612903,0.5161290322580645,16.0,1.9170506912442395,2.2857142857142856,0.0,0.0,0.7567104137123319,13618.5400390625,0.0,0.0,2.810638679502947,1945.5057198660713,0.0,0.0,0.6666666666666666,8.0,2.476190476190476,1.1428571428571428,24,0.7741935483870968,12,0.5,21,7,0.5,0,0.0,0,281.21243999999996,0.35989200192453746,0,1,0,1,0
P5,P5,split_data_05,TimeSelect,5,302.719970703125,0.01382172616114211,1.0,21901.74853515625,302.719970703125,0.09103979540678417,1.7142857142857144,1564.410609654018,1.0,0.013888888888888888,1.0,72.0,1.7142857142857144,5.142857142857143,0.0,0.0,1.0,44671.91064453125,0.0,0.0,1.7142857142857144,3190.850760323661,0.0,0.0,1.0,35.0,1.7142857142857144,2.5,41,0.7454545454545455,29,0.7073170731707317,32,7,0.5,0,0.0,0,266.2251991400001,0.3844900932437973,1,0,0,0,1
P5,P5,split_data_05,TimeSelect,5,1297.320068359375,0.05923362996689249,1.0,21901.74853515625,216.22001139322916,0.06502585724480224,1.7142857142857144,1564.410609654018,6.0,0.08333333333333333,1.0,72.0,1.7142857142857144,5.142857142857143,5380.0498046875,0.1204347368864136,1.0,44671.91064453125,1793.3499348958333,0.13556902766325307,1.7142857142857144,3190.850760323661,3.0,0.08571428571428572,1.0,35.0,1.7142857142857144,2.5,41,0.7454545454545455,29,0.7073170731707317,32,7,0.5,0,0.0,0,266.2251991400001,0.3844900932437973,1,0,0,0,1
P5,P5,split_data_05,TimeSelect,5,2765.079833984375,0.12624927318227236,1.0,21901.74853515625,691.2699584960938,0.2078920510139006,1.7142857142857144,1564.410609654018,4.0,0.05555555555555555,1.0,72.0,1.7142857142857144,5.142857142857143,9667.06982421875,0.2164015302847181,1.0,44671.91064453125,2416.7674560546875,0.18269653218826953,1.7142857142857144,3190.850760323661,4.0,0.11428571428571428,1.0,35.0,1.7142857142857144,2.5,41,0.7454545454545455,29,0.7073170731707317,32,7,0.5,0,0.0,0,266.2251991400001,0.3844900932437973,1,1,0,0,1
P5,P5,split_data_05,TimeSelect,5,2113.689697265625,0.0965078059348902,1.0,21901.74853515625,264.2112121582031,0.07945869789558932,1.7142857142857144,1564.410609654018,8.0,0.1111111111111111,1.0,72.0,1.7142857142857144,5.142857142857143,2417.8798828125,0.0541252847242722,1.0,44671.91064453125,1208.93994140625,0.09139031327382031,1.7142857142857144,3190.850760323661,2.0,0.05714285714285714,1.0,35.0,1.7142857142857144,2.5,41,0.7454545454545455,29,0.7073170731707317,32,7,0.5,0,0.0,0,266.2251991400001,0.3844900932437973,1,1,0,0,1
P5,P5,split_data_05,TimeSelect,5,1933.3798828125,0.08827513838491376,1.0,21901.74853515625,214.81998697916666,0.06460481486717282,1.7142857142857144,1564.410609654018,9.0,0.125,1.0,72.0,1.7142857142857144,5.142857142857143,2207.199951171875,0.049409123525861125,1.0,44671.91064453125,1103.5999755859375,0.08342709512968852,1.7142857142857144,3190.850760323661,2.0,0.05714285714285714,1.0,35.0,1.7142857142857144,2.5,41,0.7454545454545455,29,0.7073170731707317,32,7,0.5,0,0.0,0,266.2251991400001,0.3844900932437973,1,1,0,0,1
P5,P5,split_data_05,TimeSelect,5,512.419921875,0.02339630194605119,1.0,21901.74853515625,256.2099609375,0.07705240711655953,1.7142857142857144,1564.410609654018,2.0,0.027777777777777776,1.0,72.0,1.7142857142857144,5.142857142857143,2015.219970703125,0.045111568805258365,1.0,44671.91064453125,671.739990234375,0.05078046149642678,1.7142857142857144,3190.850760323661,3.0,0.08571428571428572,1.0,35.0,1.7142857142857144,2.5,41,0.7454545454545455,29,0.7073170731707317,32,7,0.5,0,0.0,0,266.2251991400001,0.3844900932437973,1,1,0,0,1
