time,x,y
1732700762074.59,1850.85,787.24
1732700762104.78,1849.6,790.7
1732700762134.57,1849.5,793.74
1732700762163.81,1848.79,796.28
1732700762195.32,1848.07,797.89
1732700762225.33,1847.55,799.96
1732700762255.47,1847.83,800.77
1732700762285.1,1847.68,805.68
1732700762315.93,1847.68,810.97
1732700762346.16,1848.36,817.54
1732700762375.79,1848.03,823.85
1732700762406.15,1848.25,827.55
1732700762435.96,1839.96,825.47
1732700762466.08,1745.26,770.01
1732700762496.83,1498.87,641.66
1732700762526.64,1291.79,538.36
1732700762557.34,1177.15,482.34
1732700762587.11,1119.22,455.24
1732700762617.65,1099.12,445.81
1732700762647.67,1125.79,445.36
1732700762678.18,1143.42,441.74
1732700762708.12,1153.3,439.28
1732700762738.12,1161.63,439.64
1732700762768.22,1168.54,441.06
1732700762886.96,1196.6,464.38
1732700763007.58,1241.4,722.29
1732700763039.66,1284.17,780.61
1732700763069.91,1304.33,779.92
1732700763100.21,1315.16,763.72
1732700763130.62,1322.12,749.7
1732700763160.97,1327.89,740.52
1732700763191.93,1333.16,736.05
1732700763222.16,1338.08,732.65
1732700763252.29,1342.16,731.4
1732700763282.51,1344.75,728.92
1732700763312.34,1339.09,723.43
1732700763342.19,1330.38,716.68
1732700763372.88,1319.9,708.85
1732700763402.96,1309.46,699.55
1732700763432.95,1299.35,693.13
1732700763462.97,1291.24,687.42
1732700763493.96,1273.22,659.26
1732700763523.91,1238.23,594.29
1732700763553.42,1205.27,532.27
1732700763583.9,1181.69,490.97
1732700763614.3,1165.72,464.55
1732700763645.09,1157.31,448.76
1732700763675.05,1152.48,441.66
1732700763704.18,1148.19,435.36
1732700763734.39,1144.37,429.27
1732700763765.76,1121.43,432.43
1732700763795.18,1098.81,434.64
1732700763825.85,1080.56,433.97
1732700763856.41,1066.56,434.15
1732700763886.95,1055.06,434.15
1732700763916.42,1046.94,432.88
1732700763947.05,1019.48,455.03
1732700763976.82,966.67,509.02
1732700764006.8,908.53,565.17
1732700764037.09,861.87,605.59
1732700764067.1,834.14,635.25
1732700764096.29,813.11,652.08
1732700764127.51,799.35,661.66
1732700764157.88,788.54,667.17
1732700764188.46,783.42,671.91
1732700764218.5,779.44,673.69
1732700764248.32,775.35,671.72
1732700764279.77,773.02,669.42
1732700764309.73,771.04,668.6
1732700764338.43,769.05,667.62
1732700764369.7,764.64,670.77
1732700764399.61,753.77,694.02
1732700764429.98,741.85,729.57
1732700764460.04,732.58,761.75
1732700764490.13,724.48,784.96
1732700764520.22,719.39,806.25
1732700764550.75,718.93,814.7
1732700764580.96,719.44,819.06
1732700764620.66,718.8,820.48
1732700764641.5,718.26,821.01
1732700764671.54,718.26,822.05
1732700764702.07,716.55,821.61
1732700764731.95,716.93,822.68
1732700764762.61,720.45,829.56
1732700764791.32,724.47,836.56
1732700764822.5,726.35,841.75
1732700764853.01,729.32,847.72
1732700764883.8,733.33,850.61
1732700764912.94,734.74,851.98
1732700764943.73,735.29,852.85
1732700764973.62,737.36,854.99
1732700765003.97,737.61,857.68
1732700765033.94,738.34,858.51
1732700765064.13,738.73,858.65
1732700765094.41,739.41,860.06
1732700765124.8,740.02,862.96
1732700765155.4,739.72,865.15
1732700765185.59,746.0,879.01
1732700765215.32,753.64,899.58
1732700765245.89,759.98,917.44
1732700765275.17,767.0,935.41
1732700765306.0,770.82,947.92
1732700765335.41,774.72,957.03
1732700765365.47,777.47,967.02
1732700765396.56,778.52,970.55
1732700765426.0,779.47,979.91
1732700765457.05,780.04,980.55
1732700765487.13,782.21,982.55
1732700765518.24,782.86,985.43
1732700765546.73,782.81,987.44
1732700765577.93,789.13,987.28
1732700765608.02,796.14,986.16
1732700765638.14,801.38,984.75
1732700765668.86,806.12,983.37
