time,x,y
1732700721140.57,1178.1,298.87
1732700721170.74,966.02,365.19
1732700721200.79,813.24,414.14
1732700721230.62,723.33,442.94
1732700721261.45,671.66,457.48
1732700721291.88,616.29,469.59
1732700721321.82,542.42,480.24
1732700721352.35,497.26,486.57
1732700721382.04,471.54,492.39
1732700721412.39,453.52,495.48
1732700721442.93,442.8,496.87
1732700721473.05,437.43,497.59
1732700721502.79,432.92,496.15
1732700721533.35,428.78,501.83
1732700721563.06,421.97,521.75
1732700721593.68,416.37,542.3
1732700721624.0,408.73,559.75
1732700721653.94,405.71,573.65
1732700721684.63,403.26,582.81
1732700721719.87,402.87,590.73
1732700721745.23,401.58,595.75
1732700721774.86,399.3,598.73
1732700721804.99,400.7,624.29
1732700721835.23,401.69,664.34
1732700721865.41,406.15,701.29
1732700721896.01,405.48,725.32
1732700721925.6,403.5,741.0
1732700721955.76,404.48,751.99
1732700721985.91,404.97,758.68
1732700722016.05,404.33,762.8
1732700722047.03,405.32,782.77
1732700722077.57,406.71,806.57
1732700722106.87,407.82,825.54
1732700722137.38,410.09,840.79
1732700722167.73,411.1,847.89
1732700722196.9,412.21,854.11
1732700722228.66,410.62,858.76
1732700722258.25,411.57,862.49
1732700722288.94,410.64,865.05
1732700722318.41,410.74,866.96
1732700722349.16,410.78,868.15
1732700722379.24,411.6,869.89
1732700722409.45,412.05,870.33
1732700722438.69,414.07,872.17
1732700722468.86,473.48,838.28
1732700722497.85,779.85,675.28
1732700722528.41,1251.05,454.87
1732700722559.82,1535.72,330.08
1732700722590.31,1647.3,284.7
1732700722620.25,1683.57,261.59
1732700722651.31,1699.69,252.43
1732700722681.57,1711.82,247.09
1732700722711.8,1750.99,229.45
1732700722742.07,1782.89,217.85
1732700722771.8,1800.33,210.52
1732700722802.33,1811.24,205.71
1732700722833.12,1817.93,202.38
1732700722862.66,1791.75,199.19
1732700722893.18,1768.02,199.04
1732700722923.32,1752.72,198.33
1732700722953.14,1741.77,197.74
1732700722983.2,1731.97,196.54
1732700723014.16,1722.53,195.61
1732700723044.12,1714.7,194.61
1732700723073.77,1707.65,193.95
1732700723103.79,1701.92,193.37
1732700723134.87,1697.08,193.85
1732700723165.04,1692.76,193.36
1732700723194.61,1688.98,193.88
1732700723225.51,1685.52,193.2
1732700723255.6,1683.07,192.62
1732700723285.63,1680.74,192.19
1732700723314.41,1631.98,206.39
