time,x,y
1732702076491.22,1249.52,665.64
1732702076521.32,1249.7,665.41
1732702076551.25,1249.74,665.89
1732702076582.3,1249.34,666.16
1732702076612.49,1249.8,666.59
1732702076642.45,1250.61,667.44
1732702076672.32,1254.05,645.76
1732702076702.77,1262.11,583.18
1732702076732.9,1276.24,524.33
1732702076762.88,1283.78,485.45
1732702076793.19,1300.42,469.46
1732702076823.7,1325.56,471.65
1732702076853.81,1339.94,471.79
1732702076888.93,1350.35,471.32
1732702076914.32,1357.92,474.46
1732702076944.86,1362.7,475.56
1732702076974.21,1366.09,475.93
1732702077005.12,1369.05,476.17
1732702077034.71,1362.52,482.29
1732702077065.73,1315.12,515.63
1732702077096.08,1219.14,579.92
1732702077125.5,1133.36,638.01
1732702077156.49,1075.01,674.42
1732702077186.5,1046.04,701.62
1732702077216.21,1027.14,719.32
1732702077247.16,1021.05,722.89
1732702077276.82,1015.58,725.38
1732702077307.15,1013.07,724.97
1732702077336.76,1014.32,731.2
1732702077367.55,1012.85,735.68
1732702077396.97,1010.78,737.7
1732702077428.23,1007.93,739.96
1732702077457.39,1005.58,743.11
1732702077488.07,1004.28,744.83
1732702077518.04,1021.14,754.03
1732702077547.95,1060.25,774.41
1732702077578.9,1100.37,796.35
1732702077608.25,1137.1,816.66
1732702077639.26,1166.81,831.33
1732702077669.65,1188.28,842.67
1732702077699.63,1202.9,849.48
1732702077730.49,1212.47,854.34
1732702077760.19,1222.04,857.98
1732702077791.41,1225.82,858.34
1732702077820.54,1228.45,859.07
1732702077850.48,1225.75,865.8
1732702077881.4,1222.55,871.95
1732702077910.68,1220.27,875.78
1732702077940.71,1218.04,880.53
1732702077971.78,1213.9,882.44
1732702078001.66,1211.57,884.61
1732702078031.64,1210.64,885.87
1732702078066.79,1209.04,887.53
1732702078092.84,1207.23,889.28
1732702078122.23,1204.61,890.39
1732702078153.05,1204.59,891.41
1732702078182.75,1205.09,891.82
1732702078213.68,1208.47,896.65
1732702078243.57,1212.71,904.69
1732702078274.23,1217.35,914.42
1732702078304.26,1219.75,924.94
1732702078333.71,1222.66,933.73
1732702078364.89,1226.12,943.98
1732702078395.23,1304.7,966.83
1732702078425.21,1500.72,1003.34
1732702078455.42,1671.38,1033.57
1732702078485.7,1772.89,1057.87
1732702078515.64,1827.49,1070.64
1732702078546.17,1861.58,1077.67
1732702078575.77,1880.38,1080.6
1732702078605.7,1895.46,1075.89
1732702078636.17,1905.68,1073.93
1732702078666.49,1913.52,1073.6
1732702078697.41,1894.48,1061.62
1732702078726.79,1864.65,1041.51
1732702078757.71,1817.13,1007.79
1732702078787.85,1764.15,971.97
1732702078818.22,1718.53,944.44
1732702078847.56,1687.69,920.96
1732702078878.04,1666.33,905.68
1732702078908.52,1651.74,898.0
1732702078938.13,1644.01,889.28
1732702078968.43,1639.07,885.02
1732702078999.25,1635.05,882.54
1732702079029.64,1635.78,878.75
1732702079059.33,1652.34,861.84
1732702079089.36,1665.32,846.27
1732702079119.6,1678.8,830.9
1732702079149.65,1690.94,820.02
1732702079179.73,1699.0,811.47
1732702079210.4,1703.66,804.64
1732702079240.22,1706.25,798.87
1732702079270.35,1709.16,794.75
1732702079301.2,1711.15,791.7
1732702079331.08,1713.08,789.16
1732702079361.27,1721.9,783.4
1732702079391.86,1755.82,738.3
1732702079422.51,1785.24,614.34
1732702079452.51,1811.2,497.19
1732702079482.58,1833.86,425.3
1732702079631.78,1716.91,345.78
1732702079663.48,1744.58,307.44
1732702079694.13,1734.76,292.47
1732702079724.01,1726.55,280.94
1732702079754.48,1716.85,275.23
1732702079785.54,1684.36,302.84
1732702079815.06,1652.56,336.09
1732702079844.91,1614.2,372.85
1732702079875.12,1577.24,407.49
1732702079905.96,1549.61,433.3
1732702079935.71,1536.1,449.94
1732702079966.07,1525.32,467.79
1732702079996.68,1516.19,476.1
1732702080026.59,1494.5,476.62
1732702080056.12,1465.71,476.72
1732702080085.87,1440.93,473.82
1732702080117.14,1420.05,473.29
1732702080146.78,1409.66,476.25
1732702080176.92,1401.98,476.8
1732702080207.08,1396.87,476.89
1732702080238.19,1393.5,478.44
1732702080268.33,1390.37,478.41
1732702080297.64,1400.14,489.12
1732702080328.41,1470.54,546.43
1732702080358.64,1579.64,623.78
1732702080389.2,1668.72,683.55
1732702080419.42,1726.46,724.29
1732702080448.93,1753.28,748.42
1732702080479.47,1768.75,764.18
1732702080509.84,1779.49,773.85
1732702080540.24,1789.4,781.63
1732702080569.61,1794.25,787.11
1732702080599.16,1796.57,789.11
1732702080630.29,1800.43,790.79
1732702080660.23,1789.94,785.84
1732702080690.45,1775.8,781.92
1732702080719.96,1767.64,777.99
1732702080750.17,1759.37,773.77
1732702080781.24,1748.96,769.08
1732702080810.94,1739.1,763.64
1732702080841.65,1730.69,758.12
1732702080872.49,1723.26,754.69
1732702080902.51,1696.94,759.5
1732702080932.78,1662.09,768.66
1732702080962.75,1630.4,777.72
1732702080992.71,1605.07,783.22
1732702081023.29,1586.22,788.99
1732702081053.41,1570.29,790.87
1732702081083.22,1559.44,795.45
1732702081114.03,1554.04,797.25
1732702081143.91,1548.68,796.78
1732702081174.03,1546.18,796.77
1732702081204.51,1488.2,833.52
1732702081234.03,1352.1,905.94
1732702081264.45,1236.76,970.22
1732702081294.59,1159.69,1014.01
1732702081324.29,1118.59,1037.21
1732702081355.13,1094.84,1052.6
1732702081385.55,1078.79,1063.58
1732702081415.53,1066.59,1065.23
1732702081445.77,1061.12,1067.03
1732702081476.18,1058.63,1069.64
1732702081505.71,1056.35,1069.41
1732702081535.47,1052.5,1092.51
1732702081565.09,1012.45,1111.59
1732702081595.61,892.81,1130.21
1732702081625.62,757.65,1125.06
1732702081655.67,664.51,1117.46
1732702081686.67,604.87,1105.43
1732702081717.7,588.14,1077.19
1732702081747.4,579.1,1059.05
1732702081778.41,571.77,1052.29
1732702081808.16,566.28,1048.92
1732702081838.27,562.05,1044.48
1732702081868.53,559.48,1042.25
1732702081898.81,539.16,1014.1
1732702081928.81,527.18,966.47
1732702081959.15,512.24,917.98
1732702081989.6,495.24,880.22
1732702082019.65,488.33,855.51
1732702082050.24,489.35,843.81
1732702082079.9,483.36,832.44
1732702082110.79,476.37,823.94
1732702082140.16,471.22,819.09
1732702082172.16,468.93,817.31
1732702082200.94,470.01,815.34
1732702082231.27,471.23,815.23
1732702082261.0,489.49,824.76
1732702082291.74,665.15,946.27
1732702082321.36,932.28,1125.16
1732702082351.49,1100.63,1228.84
1732702082381.78,1181.46,1284.05
1732702082412.96,1217.68,1299.19
1732702082442.59,1233.56,1312.61
1732702082473.28,1246.12,1318.9
1732702082502.4,1247.26,1325.38
1732702082532.55,1241.42,1330.21
1732702082563.74,1235.15,1332.57
1732702082593.32,1228.01,1330.7
1732702082623.57,1226.03,1329.89
1732702082653.87,1226.24,1329.2
1732702082684.03,1225.92,1329.83
1732702082714.03,1225.64,1329.95
1732702082744.79,1241.87,1280.42
1732702082775.12,1294.1,1027.44
1732702082924.25,1268.5,700.71
1732702082955.53,1262.61,607.62
1732702082985.56,1251.46,571.47
1732702083016.64,1249.73,545.38
1732702083046.84,1245.3,532.64
1732702083081.32,1241.61,524.62
1732702083106.44,1243.91,519.64
1732702083137.48,1246.06,516.88
1732702083167.1,1269.48,497.28
1732702083197.16,1296.34,480.27
1732702083227.59,1314.84,464.96
1732702083258.41,1328.55,453.78
1732702083288.29,1339.55,447.68
1732702083319.06,1344.5,443.72
1732702083348.75,1347.48,439.64
1732702083379.39,1349.45,436.18
1732702083409.7,1351.27,435.27
1732702083439.71,1355.67,433.79
1732702083469.84,1385.54,433.13
1732702083500.0,1422.86,436.12
1732702083529.92,1465.51,439.04
1732702083559.38,1480.79,454.17
1732702083590.02,1460.7,460.27
1732702083620.46,1446.91,458.16
1732702083650.54,1441.7,457.93
1732702083681.43,1432.25,456.77
1732702083710.71,1417.33,455.76
1732702083741.0,1377.82,456.98
1732702083771.51,1330.9,455.99
1732702083801.86,1293.19,453.91
1732702083832.07,1264.87,451.37
1732702083862.55,1242.9,449.16
1732702083892.64,1226.58,446.07
1732702083923.12,1215.03,443.2
1732702083952.5,1205.27,445.74
1732702083982.99,1184.77,446.26
1732702084012.61,1147.26,448.31
1732702084043.2,1116.17,454.84
1732702084074.15,1093.38,454.49
1732702084103.74,1076.36,452.69
1732702084134.12,1068.08,449.64
1732702084163.82,1060.44,447.68
1732702084194.21,1057.35,447.27
1732702084224.81,1054.46,449.02
1732702084254.75,1104.93,500.16
1732702084284.89,1261.73,694.18
1732702084315.25,1387.65,866.04
1732702084345.61,1466.33,965.19
1732702084375.2,1503.77,1011.06
1732702084406.19,1517.05,1035.59
1732702084436.03,1523.5,1044.72
1732702084466.52,1531.31,1056.25
1732702084497.13,1534.76,1059.79
1732702084527.02,1534.75,1063.68
1732702084556.95,1504.08,1054.11
1732702084587.74,1476.97,1044.94
1732702084617.84,1462.35,1038.1
1732702084648.08,1448.61,1031.34
1732702084677.52,1433.84,1023.79
1732702084708.34,1422.84,1019.22
1732702084738.24,1412.97,1016.88
1732702084768.35,1405.25,1014.68
1732702084798.84,1399.0,1014.43
1732702084828.59,1392.13,1015.73
1732702084858.78,1386.66,1017.14
1732702084889.65,1383.56,1021.02
1732702084920.25,1383.64,1023.41
1732702084949.98,1382.99,1024.49
1732702084980.17,1380.8,1024.21
