time,x,y
1732702002359.14,1408.1,232.22
1732702002389.96,1422.46,236.11
1732702002420.72,1434.11,239.03
1732702002449.68,1440.26,243.61
1732702002480.48,1444.27,246.62
1732702002509.78,1447.77,247.49
1732702002539.96,1451.6,249.19
1732702002569.93,1454.85,251.25
1732702002601.32,1458.18,254.23
1732702002631.29,1455.82,259.41
1732702002661.08,1414.03,308.88
1732702002692.04,1343.43,404.11
1732702002721.46,1284.36,483.45
1732702002752.26,1249.58,531.97
1732702002782.6,1230.37,558.61
1732702002812.68,1217.89,571.33
1732702002842.98,1214.46,579.04
1732702002873.23,1208.27,581.55
1732702002902.16,1128.01,585.46
1732702002932.78,897.32,605.33
1732702002963.17,700.11,616.95
1732702002993.46,572.92,619.26
1732702003024.07,504.15,618.12
1732702003053.96,470.52,621.88
1732702003085.05,451.54,625.95
1732702003114.73,442.13,626.65
1732702003145.16,441.78,627.17
1732702003175.33,440.05,627.72
1732702003205.12,430.56,603.48
1732702003234.87,424.11,578.58
1732702003265.86,419.29,560.62
1732702003295.9,410.21,546.5
