view,time
HomePage,1732698347018
BookBorrow,1732698362809
HomePage,1732698386064
CoreJournal,1732698388598
LibIntro,1732698392339
HomePage,1732698393922
BookBorrow,1732698399049
CardProcess,1732698400353
DiscRequest,1732698400926
CardProcess,1732698401363
AncientRead,1732698402216
CardProcess,1732698404339
SeatReserve,1732698409501
FloorSelect,1732698476915
TimeSelect,1732698503769
SeatSelect,1732698528038
InfoConfirm,1732698541405
