view,time
HomePage,1735805102244
BookBorrow,1735805104713
SeatReserve,1735805109421
FloorSelect,1735805111898
TimeSelect,1735805112923
SeatSelect,1735805116924
TimeSelect,1735805124991
SeatSelect,1735805127996
InfoConfirm,1735805132067
