time,x,y
1732698409531.37,1586.14,958.32
1732698409561.36,1605.63,963.12
1732698409586.73,1593.2,965.76
1732698409616.66,1575.51,964.72
1732698409651.94,1567.52,964.46
1732698409676.88,1564.37,964.51
1732698409712.55,1560.66,965.2
1732698409741.92,1559.13,965.4
1732698409767.83,1556.29,966.83
1732698409885.17,1377.71,932.26
1732698409918.42,1359.98,959.98
1732698409948.17,1267.87,898.01
1732698409978.56,1184.91,845.2
1732698410009.01,1128.92,808.76
1732698410038.91,1097.76,785.86
1732698410069.8,1080.71,772.1
1732698410099.69,1068.42,762.07
1732698410247.69,1071.29,759.46
1732698410280.86,1066.22,725.31
1732698410311.52,1048.45,672.36
1732698410341.33,1031.15,641.17
1732698410372.41,1017.83,614.46
1732698410402.31,1015.23,599.18
1732698410431.56,1024.28,574.01
1732698410462.21,1034.51,553.27
1732698410493.07,1042.32,541.86
1732698410522.75,1043.85,533.47
1732698410552.61,1044.83,525.76
1732698410582.9,1047.61,522.34
1732698410613.73,1047.08,520.59
1732698410643.74,1051.54,520.9
1732698410673.66,1054.87,521.72
1732698410704.03,1058.15,522.05
1732698410734.11,1060.2,522.53
1732698410764.52,1061.29,523.12
1732698410794.54,1062.43,523.35
1732698410823.87,1063.34,523.8
1732698410855.34,1064.45,523.29
1732698410885.61,1065.64,523.67
1732698410915.77,1066.43,524.19
1732698410945.97,1066.97,524.33
1732698410976.17,1071.39,525.01
1732698411006.57,1107.39,525.2
1732698411036.42,1166.0,524.15
1732698411065.83,1216.47,521.99
1732698411097.04,1258.6,520.3
1732698411127.75,1289.56,521.09
1732698411157.42,1310.68,521.86
1732698411188.25,1325.63,521.86
1732698411217.86,1335.24,521.83
1732698411247.4,1343.18,524.61
1732698411277.77,1348.37,526.08
1732698411308.58,1359.81,528.41
1732698411338.03,1373.75,531.16
1732698411368.23,1382.32,532.28
1732698411399.05,1418.23,532.9
1732698411429.67,1481.44,533.49
1732698411459.31,1533.34,534.19
1732698411489.98,1570.05,534.71
1732698411519.96,1593.92,535.53
1732698411550.13,1612.66,535.97
1732698411580.46,1623.47,536.22
1732698411610.35,1629.84,537.02
1732698411640.71,1633.7,539.53
1732698411671.14,1637.74,540.9
1732698411700.74,1641.52,542.29
1732698411730.08,1704.2,544.11
1732698411760.91,1792.13,546.85
1732698411790.87,1862.49,546.45
1732698411822.04,1904.4,545.67
1732698411851.44,1930.76,545.75
1732698411881.94,1947.31,543.55
1732698411912.59,1961.09,541.76
1732698411942.19,1968.46,539.2
1732698411973.0,1945.07,526.78
1732698412006.81,1876.03,499.44
1732698412036.38,1759.13,452.09
1732698412067.17,1656.42,411.47
1732698412097.43,1585.48,384.75
1732698412124.02,1542.75,368.82
1732698412153.65,1516.56,358.11
1732698412183.54,1470.88,378.34
1732698412218.2,1428.74,404.22
1732698412249.15,1400.89,418.06
1732698412274.98,1383.64,427.91
1732698412305.25,1372.98,433.32
1732698412335.09,1364.36,437.08
1732698412363.64,1362.77,441.1
1732698412393.14,1344.08,440.99
1732698412424.69,1283.67,435.23
1732698412456.42,1228.41,432.66
1732698412485.89,1192.96,433.47
1732698412517.22,1166.99,434.89
1732698412547.21,1150.61,435.29
1732698412575.93,1141.38,436.73
1732698412606.38,1131.47,437.74
1732698412635.43,1106.87,440.46
1732698412667.66,1076.57,446.01
1732698412697.22,1054.76,449.58
1732698412727.54,1035.64,449.55
1732698412757.76,1022.03,450.13
1732698412787.32,1013.33,452.26
1732698412819.36,1006.14,453.02
1732698412847.26,1013.33,484.71
1732698412878.81,1039.47,617.38
1732698412909.38,1069.26,754.05
1732698412939.93,1082.27,834.67
1732698412970.41,1089.74,874.89
