time,x,y
1732703646659.75,1319.22,923.16
1732703646689.46,1302.73,923.99
1732703646720.12,1290.62,924.24
1732703646749.7,1281.64,922.73
1732703646780.69,1274.95,922.14
1732703646810.9,1271.19,922.06
1732703646840.29,1268.34,922.05
1732703646871.16,1266.38,921.76
1732703646901.01,1264.43,921.75
1732703646930.94,1262.82,921.47
1732703646961.65,1262.11,921.67
1732703646992.24,1261.96,922.26
1732703647022.29,1261.99,922.72
1732703647052.68,1260.59,922.91
1732703647082.64,1260.18,922.5
1732703647112.83,1260.55,922.21
1732703647142.47,1306.47,919.9
1732703647172.67,1461.7,913.77
1732703647202.59,1612.68,906.53
1732703647233.84,1719.24,898.64
1732703647263.58,1781.75,894.49
1732703647294.26,1816.38,891.66
1732703647324.22,1836.3,889.08
1732703647354.78,1851.13,888.44
1732703647384.35,1859.51,884.62
1732703647415.21,1864.49,882.52
1732703647444.92,1869.07,881.19
1732703647475.14,1872.48,879.91
1732703647505.81,1875.03,878.75
1732703647535.7,1877.99,879.15
1732703647566.38,1880.06,877.73
1732703647596.69,1880.78,877.36
1732703647625.94,1899.31,904.33
1732703647656.95,1944.7,977.45
1732703647687.02,1988.23,1051.89
1732703647716.92,2022.72,1104.06
1732703647747.13,2045.48,1135.88
1732703647777.04,2054.75,1157.82
1732703647807.37,2062.01,1170.28
1732703647837.47,2065.63,1177.9
1732703647868.61,2067.22,1183.04
1732703647897.76,2068.77,1186.17
1732703647928.75,2069.78,1187.91
1732703647958.86,2070.48,1188.08
1732703647989.15,2071.36,1188.19
1732703648018.7,2071.85,1188.96
1732703648050.38,2074.65,1192.83
1732703648079.84,2077.13,1196.18
1732703648110.28,2080.23,1200.4
1732703648140.27,2082.62,1203.18
1732703648170.01,2083.79,1205.37
1732703648200.67,2085.47,1207.79
1732703648230.78,2086.6,1210.53
1732703648260.91,2087.81,1212.36
1732703648291.15,2087.96,1213.22
1732703648320.29,2088.98,1213.96
1732703648351.77,2089.01,1213.97
1732703648381.2,2088.96,1213.89
1732703648411.47,2089.09,1214.39
1732703648442.1,2089.77,1214.52
1732703648472.45,2090.34,1215.15
1732703648502.8,2090.53,1215.85
1732703648532.41,2090.8,1216.25
1732703648562.36,2091.64,1215.95
1732703648593.3,2091.86,1216.08
1732703648622.69,2091.92,1216.25
1732703648654.19,2091.86,1216.26
1732703648683.73,2091.67,1216.1
1732703648714.36,2091.6,1216.04
1732703648744.42,2091.63,1216.08
1732703648774.19,2091.63,1216.23
1732703648804.36,2091.78,1216.39
1732703648834.82,2091.84,1216.37
1732703648864.87,2092.07,1216.39
1732703648894.39,2092.32,1216.53
1732703648925.71,2092.72,1216.7
1732703648955.01,2092.9,1216.99
1732703648985.94,2093.18,1217.43
1732703649016.15,2093.62,1217.57
1732703649045.83,2093.55,1217.53
1732703649075.37,1988.07,1196.48
1732703649106.02,1441.61,1063.41
1732703649137.14,997.46,949.04
1732703649165.98,804.21,897.07
1732703649196.8,723.57,874.21
1732703649227.69,690.54,869.03
1732703649257.86,676.63,869.43
1732703649288.08,651.33,870.46
1732703649317.97,625.4,870.93
1732703649348.4,610.74,870.31
1732703649378.69,600.94,869.28
1732703649408.91,595.55,868.09
1732703649438.82,591.4,865.6
1732703649469.45,587.25,863.85
1732703649499.21,585.61,861.45
1732703649529.41,583.88,858.72
1732703649559.73,608.23,860.01
1732703649590.08,913.55,910.9
1732703649620.36,1475.24,1015.67
1732703649650.83,1802.44,1076.37
1732703649680.82,1932.87,1103.1
1732703649711.5,1985.99,1112.04
1732703649740.91,2007.88,1120.9
1732703649770.98,2019.08,1125.61
1732703649801.6,2022.34,1131.2
1732703649831.82,2025.54,1131.66
1732703649861.71,2044.11,1147.46
1732703649891.82,2058.83,1161.79
1732703649922.34,2066.65,1172.2
1732703649951.67,2072.73,1179.1
1732703649982.68,2077.44,1183.74
1732703650012.33,2080.81,1186.02
1732703650043.04,2075.23,1185.25
1732703650072.14,1994.16,1169.99
1732703650102.91,1484.85,1069.4
1732703650133.58,1019.46,979.39
1732703650163.75,801.92,937.07
1732703650194.26,712.71,919.32
1732703650224.13,673.47,905.01
1732703650254.96,658.53,898.46
1732703650284.95,632.23,887.85
1732703650315.82,613.55,880.69
1732703650345.33,601.99,878.39
1732703650375.7,594.46,875.4
1732703650405.84,589.6,874.49
1732703650436.48,587.06,874.01
1732703650466.54,585.54,873.86
1732703650496.54,583.67,872.71
1732703650526.45,582.26,871.62
1732703650556.48,581.48,871.42
1732703650586.76,580.73,871.42
1732703650616.93,580.51,870.31
1732703650647.2,580.35,869.2
1732703650677.08,579.96,868.85
1732703650708.03,579.81,868.97
1732703650737.19,579.38,868.33
1732703650768.33,579.17,867.85
1732703650798.05,583.4,868.53
1732703650827.99,596.74,872.17
1732703650859.35,617.76,879.16
1732703650889.5,641.1,885.65
1732703650918.72,664.41,893.29
1732703650949.24,683.6,900.34
1732703650979.42,698.12,907.26
1732703651009.84,709.1,911.0
1732703651039.92,718.16,913.51
1732703651069.82,736.49,914.56
1732703651100.18,990.5,967.1
1732703651130.78,1506.25,1084.57
1732703651161.33,1840.85,1161.94
1732703651191.16,1979.19,1193.01
1732703651221.05,2035.33,1203.88
1732703651251.9,2062.61,1208.6
1732703651281.56,2076.3,1210.77
1732703651311.04,2082.31,1210.75
1732703651341.02,1998.63,1180.79
1732703651371.9,1805.56,1130.24
1732703651401.6,1293.17,1002.25
