time,x,y
1732702040573.44,2037.8,838.04
1732702040603.74,2036.81,839.11
1732702040633.55,2035.77,839.62
1732702040664.4,2035.22,839.42
1732702040694.91,2034.75,839.41
1732702040723.63,2033.95,839.34
1732702040754.39,2033.39,839.85
1732702040784.48,2033.06,840.12
1732702040815.03,2031.99,840.84
1732702040845.71,2011.25,834.06
1732702040874.3,1829.49,769.49
1732702040905.93,1484.88,630.23
1732702040936.27,1262.99,552.02
1732702040965.47,1160.9,508.46
1732702040996.25,1120.05,479.48
1732702041026.88,1098.38,467.68
1732702041056.34,1084.93,468.08
1732702041086.74,1115.05,457.12
1732702041116.88,1149.96,450.47
1732702041147.31,1169.03,445.91
1732702041177.05,1180.13,441.07
1732702041206.96,1189.94,437.23
1732702041237.98,1198.31,433.16
1732702041267.4,1199.52,432.74
1732702041298.48,1200.47,432.04
1732702041328.78,1201.19,432.18
1732702041359.16,1201.25,432.94
1732702041388.58,1201.18,432.93
1732702041419.4,1200.87,433.04
1732702041447.56,1181.42,410.59
1732702041568.7,1101.71,845.37
1732702041600.02,1079.77,837.99
1732702041631.08,1091.8,815.09
1732702041660.1,1090.03,790.35
1732702041691.35,1091.74,767.49
1732702041721.6,1099.35,747.25
1732702041751.53,1108.15,731.39
1732702041781.23,1119.16,718.38
1732702041812.0,1128.48,709.29
1732702041842.64,1131.58,695.7
1732702041871.6,1132.84,683.87
1732702041902.91,1134.93,675.46
1732702041932.58,1135.16,668.31
1732702041963.07,1134.67,662.89
1732702041992.86,1135.65,660.62
1732702042022.9,1109.95,671.47
1732702042053.87,1042.27,694.4
1732702042083.95,950.81,725.27
1732702042113.9,866.94,745.6
1732702042144.04,808.42,759.12
1732702042174.07,775.86,775.17
1732702042204.11,759.76,788.86
1732702042234.78,745.54,795.38
1732702042265.44,737.34,794.38
1732702042295.23,737.52,801.25
1732702042325.09,738.62,806.51
1732702042355.72,739.57,811.23
1732702042386.01,741.19,817.71
1732702042416.31,740.69,820.72
1732702042446.19,739.85,821.84
1732702042475.3,739.35,822.87
1732702042506.85,738.48,822.74
1732702042536.47,738.1,823.57
1732702042566.97,737.43,824.92
1732702042597.03,736.63,825.34
1732702042627.19,737.28,826.2
1732702042656.82,737.44,826.04
1732702042687.12,738.12,826.94
1732702042717.35,738.97,828.56
1732702042747.79,740.71,830.66
1732702042778.06,742.34,832.56
1732702042809.05,744.82,834.17
1732702042838.91,745.77,834.46
1732702042868.95,746.39,833.81
1732702042899.11,746.37,832.86
1732702042929.84,747.44,834.3
1732702042959.67,752.03,842.96
1732702042989.99,760.11,855.86
1732702043020.02,769.52,870.79
1732702043050.21,778.92,884.94
1732702043080.26,786.27,896.43
1732702043110.23,790.54,904.1
1732702043140.51,794.07,911.33
1732702043170.69,793.94,915.47
1732702043201.44,795.18,920.05
1732702043231.02,798.04,923.52
1732702043261.14,801.89,926.81
1732702043291.24,803.06,927.58
1732702043322.17,802.48,928.8
1732702043351.65,803.68,929.95
1732702043382.57,806.58,929.46
1732702043412.53,820.65,930.06
1732702043442.44,840.96,932.33
1732702043473.44,861.61,936.23
1732702043503.67,880.59,937.22
1732702043533.16,896.63,937.59
1732702043563.28,909.79,937.3
1732702043594.11,901.95,933.98
1732702043624.15,892.8,930.93
1732702043654.09,888.75,930.39
1732702043683.75,886.26,930.2
1732702043714.95,883.49,929.33
1732702043744.91,879.57,929.19
1732702043774.79,874.94,929.28
1732702043805.79,869.95,927.64
1732702043840.69,861.71,926.26
1732702043865.54,851.52,926.87
1732702043896.0,840.13,926.72
1732702043926.22,827.64,927.08
1732702043956.27,817.41,924.28
1732702043986.8,811.36,919.68
1732702044015.66,805.84,916.7
1732702044046.18,801.01,915.03
1732702044077.13,798.12,914.43
1732702044107.79,796.75,914.7
1732702044137.78,792.37,916.03
1732702044167.84,784.23,914.57
1732702044197.69,782.75,913.14
1732702044228.75,781.89,913.41
1732702044258.21,780.93,913.71
1732702044288.52,780.62,912.97
1732702044324.32,781.28,913.28
1732702044349.25,781.96,912.76
1732702044379.45,782.35,912.52
1732702044409.4,783.08,912.47
1732702044439.83,783.88,913.0
1732702044470.03,783.89,913.47
1732702044500.44,783.2,914.75
1732702044530.13,781.24,917.69
1732702044560.74,779.83,919.69
1732702044591.24,780.01,923.43
1732702044620.89,781.9,924.38
1732702044650.8,783.02,923.82
1732702044681.2,784.19,925.21
1732702044711.57,783.46,925.92
1732702044741.24,778.89,929.47
1732702044771.82,772.97,932.14
1732702044802.09,774.25,930.86
1732702044831.85,774.63,930.33
1732702044862.96,774.72,930.13
1732702044893.08,777.77,935.37
1732702044923.67,786.03,950.34
1732702044953.76,795.86,968.84
1732702044983.53,805.23,982.91
1732702045013.85,812.0,992.33
1732702045043.65,817.1,1000.88
1732702045073.79,821.71,1010.63
1732702045104.42,826.65,1023.43
1732702045134.0,830.75,1039.7
1732702045164.92,834.99,1052.92
1732702045195.07,835.08,1066.56
1732702045225.55,837.29,1075.11
1732702045255.94,842.28,1079.03
1732702045285.58,844.88,1081.8
1732702045316.12,836.35,1089.23
1732702045345.31,815.38,1099.88
1732702045376.49,796.05,1113.18
1732702045405.97,780.79,1123.74
1732702045436.31,770.72,1132.44
1732702045466.96,765.01,1140.37
1732702045497.02,768.89,1136.6
1732702045527.61,777.61,1124.43
1732702045557.22,794.85,1096.54
1732702045588.12,816.92,1056.74
1732702045618.25,838.5,1020.02
1732702045647.63,857.65,988.1
1732702045678.69,872.06,969.56
1732702045709.09,882.59,953.96
1732702045738.72,892.01,947.85
1732702045768.55,898.48,944.77
1732702045798.65,903.3,940.12
1732702045829.54,911.78,937.66
1732702045860.13,921.99,936.54
1732702045890.06,930.6,934.68
1732702045920.23,936.57,932.68
1732702045955.08,940.36,932.98
1732702045980.77,945.12,934.54
1732702046010.43,935.3,933.19
1732702046040.88,922.53,932.89
1732702046070.82,909.02,934.28
1732702046101.94,893.57,934.99
1732702046131.7,879.01,936.52
1732702046161.96,864.84,937.91
1732702046191.65,853.95,937.32
1732702046222.6,849.62,940.09
1732702046252.33,844.25,941.54
1732702046282.29,840.56,939.92
1732702046314.36,838.04,939.78
1732702046343.46,835.97,940.55
1732702046372.67,834.03,940.81
