time,x,y
1732702113528.21,1569.28,274.59
1732702113558.34,1544.26,270.22
1732702113588.85,1523.13,263.12
1732702113618.46,1529.98,261.74
1732702113648.26,1546.8,265.01
1732702113679.05,1552.33,265.49
1732702113708.39,1555.96,265.45
1732702113739.15,1558.58,265.73
1732702113769.18,1561.49,265.78
1732702113799.98,1566.25,265.34
1732702113830.75,1571.38,265.86
1732702113860.23,1576.55,265.75
1732702113889.87,1567.33,288.75
1732702113920.03,1513.53,347.42
1732702113950.84,1454.75,411.61
1732702113980.67,1414.31,460.02
1732702114010.81,1384.08,494.75
1732702114041.87,1366.47,509.08
1732702114071.46,1355.17,519.87
