time,x,y
1735805127997.06,1710.32,1205.29
1735805128027.1,1711.82,1205.9
1735805128057.18,1710.56,1202.24
1735805128087.17,1709.18,1199.3
1735805128117.71,1706.59,1199.91
1735805128148.06,1708.36,1200.14
1735805128178.81,1704.61,1193.41
1735805128207.87,1683.63,1146.31
1735805128237.84,1629.76,1051.09
1735805128268.19,1571.73,961.95
1735805128299.37,1536.27,913.91
1735805128330.01,1516.1,890.74
1735805128360.61,1501.27,871.28
1735805128390.32,1534.59,811.07
1735805128419.52,1367.01,779.72
1735805128449.96,1314.51,733.69
1735805128480.38,1279.14,701.74
1735805128510.49,1250.86,691.61
1735805128539.83,1231.16,689.57
1735805128570.45,1223.29,687.99
1735805128601.02,1225.61,697.35
1735805128630.5,1232.29,715.84
1735805128660.72,1121.34,743.2
1735805128690.74,1119.63,761.87
1735805128720.98,1173.15,1545.64
1735805128751.88,1176.85,1819.45
1735805128781.9,1133.57,1932.19
1735805128812.42,1147.62,1760.01
1735805128842.33,1278.35,1713.17
1735805129022.35,1221.55,854.55
1735805129052.92,1159.18,820.25
1735805129083.88,1168.12,828.69
1735805129114.22,1179.96,828.49
1735805129144.17,1177.89,828.99
1735805129174.85,1180.55,826.79
1735805129205.29,1176.12,828.12
1735805129235.47,1173.39,829.04
1735805129265.73,1171.28,829.18
1735805129296.35,1168.24,828.96
1735805129325.91,1165.82,828.92
1735805129356.08,1163.7,830.11
1735805129385.59,1161.55,830.42
1735805129415.63,1159.99,831.56
1735805129447.65,1158.3,833.43
1735805129477.9,1155.1,833.14
1735805129507.69,1152.57,832.31
1735805129538.15,1149.78,831.32
1735805129568.64,1147.34,828.51
1735805129598.27,1144.51,825.85
1735805129628.71,1142.5,822.95
1735805129659.06,1140.89,820.74
1735805129688.93,1140.01,818.11
1735805129719.07,1140.01,815.11
1735805129749.21,1140.36,813.03
1735805129779.77,1140.56,811.46
1735805129809.43,1140.4,809.94
1735805129840.23,1140.47,809.3
1735805129870.12,1140.9,808.9
1735805129900.39,1141.43,808.31
1735805129930.08,1141.51,809.05
1735805129960.75,1141.63,809.2
1735805129990.5,1141.76,809.29
1735805130020.99,1142.03,809.4
1735805130051.59,1142.29,809.38
1735805130081.08,1142.29,809.45
1735805130111.4,1143.36,814.15
1735805130142.58,1149.19,833.58
1735805130172.18,1157.27,860.52
1735805130202.11,1164.06,884.27
1735805130232.13,1168.05,901.56
1735805130263.66,1172.03,911.93
1735805130292.96,1179.02,917.09
1735805130323.52,1184.65,922.41
1735805130353.73,1190.3,927.91
1735805130383.39,1196.27,925.64
1735805130414.0,1199.89,928.92
1735805130443.84,1203.78,944.68
1735805130473.79,1208.71,962.32
1735805130504.72,1213.56,973.68
1735805130534.75,1215.88,988.55
1735805130565.45,1217.7,1004.11
1735805130595.36,1219.18,1010.35
1735805130625.87,1220.89,1014.04
1735805130655.65,1220.82,1015.33
1735805130686.15,1221.01,1018.48
1735805130715.87,1220.24,1019.61
1735805130746.0,1220.64,1019.83
1735805130775.96,1220.74,1021.62
1735805130806.82,1221.45,1020.44
1735805130837.64,1222.4,1020.12
1735805130867.16,1222.72,1020.4
1735805130897.61,1222.86,1017.48
1735805130926.97,1223.64,1006.59
1735805130957.94,1224.92,989.31
1735805130987.7,1226.32,970.21
1735805131017.94,1226.79,955.84
1735805131047.89,1227.05,946.44
1735805131078.24,1227.86,936.0
1735805131108.58,1227.71,928.12
1735805131138.81,1227.16,923.23
1735805131169.01,1228.97,915.26
1735805131200.07,1230.04,908.7
1735805131228.83,1227.7,905.8
1735805131259.75,1227.32,904.57
1735805131290.74,1227.75,904.57
1735805131320.59,1228.15,904.14
1735805131350.87,1227.51,904.13
1735805131381.27,1227.0,904.3
1735805131411.27,1227.41,904.5
1735805131440.58,1228.01,904.17
1735805131471.34,1228.33,903.9
1735805131501.91,1228.32,903.35
1735805131531.8,1228.54,902.84
1735805131562.27,1229.13,902.2
1735805131592.5,1229.79,901.35
1735805131622.49,1230.76,903.57
1735805131652.28,1246.44,960.8
1735805131682.89,1299.69,1143.48
1735805131713.43,1362.59,1329.66
1735805131743.32,1391.45,1437.92
1735805131773.33,1397.58,1491.16
1735805131804.04,1394.93,1493.71
1735805131833.67,1388.13,1499.44
1735805131868.59,1375.32,1490.37
1735805131893.15,1544.17,1499.86
1735805131924.48,1376.69,1497.41
1735805131954.53,1376.32,1504.82
1735805131984.7,1378.91,1507.31
1735805132019.37,1390.23,1514.68
1735805132044.56,1391.68,1515.73
