time,x,y
1732700738872.71,1064.96,418.23
1732700738902.9,1065.23,419.35
1732700738933.59,1083.34,420.54
1732700738963.31,1110.38,423.62
1732700738994.45,1139.81,427.47
1732700739023.54,1167.97,431.9
1732700739053.76,1189.06,435.42
1732700739083.96,1207.6,437.77
1732700739113.98,1221.01,438.91
1732700739145.43,1231.36,440.31
1732700739175.05,1240.02,440.83
1732700739204.99,1244.82,441.33
1732700739235.76,1224.49,446.79
1732700739265.62,1107.57,471.16
1732700739301.31,853.75,524.28
1732700739325.91,653.77,564.11
1732700739356.56,538.56,588.55
1732700739387.32,481.56,602.7
1732700739416.69,450.81,613.64
1732700739447.38,437.54,620.11
1732700739477.94,428.81,625.24
1732700739507.0,425.22,627.8
1732700739537.93,423.4,632.71
