time,x,y
1732700707067.25,1550.35,917.12
1732700707093.86,1549.21,915.38
1732700707124.14,1548.62,914.11
1732700707153.5,1548.7,912.72
1732700707184.4,1545.87,930.52
1732700707214.56,1536.39,974.33
1732700707244.6,1527.33,1021.31
1732700707275.24,1520.33,1056.83
1732700707304.81,1514.71,1083.06
1732700707334.89,1512.21,1103.44
1732700707365.75,1510.83,1121.45
1732700707396.16,1508.79,1128.34
1732700707426.52,1507.88,1132.98
1732700707456.22,1506.32,1136.64
1732700707486.37,1510.07,1152.97
1732700707516.84,1516.14,1171.63
1732700707546.76,1521.97,1185.42
1732700707576.84,1525.19,1196.52
1732700707607.43,1528.94,1204.63
1732700707636.98,1531.65,1212.29
1732700707667.89,1535.39,1210.76
1732700707697.89,1565.56,1119.3
1732700707728.21,1711.53,754.02
1732700707758.87,1818.1,476.51
1732700707788.75,1864.24,343.1
1732700707819.43,1886.15,291.07
1732700707848.71,1895.72,271.71
1732700707879.25,1897.66,264.4
1732700707909.54,1884.22,251.87
1732700707939.56,1871.89,244.44
1732700707970.21,1864.31,238.58
1732700708000.17,1860.35,235.12
1732700708030.85,1856.28,230.36
1732700708060.19,1815.89,223.83
1732700708090.3,1768.46,217.47
1732700708121.38,1730.47,211.87
1732700708150.47,1701.62,206.6
1732700708180.94,1681.22,203.28
1732700708211.22,1665.77,200.92
1732700708299.95,1631.92,427.37
1732700708331.1,1534.28,395.58
1732700708363.03,1505.55,388.72
1732700708392.93,1491.63,352.1
1732700708423.3,1477.77,326.32
1732700708510.51,1389.05,643.64
1732700708543.21,1370.64,671.57
1732700708573.76,1373.71,627.27
1732700708604.54,1376.15,544.98
1732700708634.68,1382.75,423.26
1732700708664.93,1386.24,326.22
1732700708695.1,1412.06,272.38
1732700708724.48,1484.06,249.58
1732700708755.49,1534.26,239.86
1732700708785.06,1561.23,232.85
1732700708815.74,1578.83,225.98
1732700708845.74,1590.15,222.36
1732700708876.49,1596.63,220.19
1732700708906.21,1602.51,219.83
1732700708936.16,1579.57,236.1
1732700708966.6,1537.16,259.75
1732700708996.37,1458.33,304.45
1732700709026.49,1383.07,346.2
1732700709056.53,1331.26,376.69
1732700709087.77,1297.58,395.91
1732700709117.83,1275.62,408.6
1732700709148.18,1263.29,416.46
1732700709178.41,1207.95,423.11
1732700709207.75,1152.39,428.12
1732700709238.53,1114.4,432.85
1732700709269.15,1087.78,435.03
1732700709299.24,1070.07,436.13
1732700709329.59,1115.36,419.77
1732700709358.99,1174.93,395.47
1732700709389.46,1307.82,341.22
1732700709419.96,1429.28,290.59
1732700709449.62,1510.13,254.79
1732700709479.96,1557.55,235.72
1732700709510.53,1586.41,225.68
1732700709540.58,1602.94,217.54
1732700709571.2,1612.0,213.3
1732700709601.39,1619.11,212.53
1732700709630.84,1624.43,209.83
1732700709661.71,1624.34,212.76
1732700709692.04,1625.39,216.15
1732700709722.01,1626.72,217.74
1732700709751.83,1627.98,218.65
1732700709782.09,1628.73,219.33
1732700709812.97,1629.67,220.04
1732700709842.93,1630.33,221.17
1732700709873.51,1631.71,220.89
1732700709903.41,1632.85,220.2
1732700709933.39,1633.47,219.75
