time,x,y
1735804949916.86,1399.77,1106.97
1735804949945.6,1413.55,1033.59
1735804949976.78,1429.47,902.33
1735804950006.9,1430.15,814.63
1735804950037.4,1425.94,760.74
1735804950067.56,1424.06,731.69
1735804950097.94,1429.02,715.88
1735804950128.3,1428.13,700.02
1735804950158.32,1429.32,691.23
1735804950188.25,1431.13,682.12
1735804950218.93,1431.61,676.49
1735804950248.8,1433.34,675.11
1735804950279.56,1436.54,677.21
1735804950309.65,1437.69,677.55
1735804950339.89,1437.51,678.99
1735804950370.15,1437.77,677.84
1735804950399.18,1437.63,676.11
1735804950430.35,1436.96,674.81
1735804950459.94,1436.7,674.49
1735804950490.47,1434.22,673.45
1735804950520.56,1426.57,672.23
1735804950551.73,1411.25,672.76
1735804950580.82,1398.48,672.03
1735804950617.02,1383.95,673.8
1735804950641.38,1372.18,671.82
1735804950672.19,1364.76,670.17
1735804950701.58,1358.87,669.13
1735804950731.98,1352.98,669.14
1735804950762.61,1350.55,675.98
1735804950793.68,1354.71,696.68
1735804950823.12,1360.78,725.93
1735804950853.65,1366.25,754.61
1735804950883.94,1370.98,779.26
1735804950913.98,1375.28,799.74
1735804950944.14,1349.24,815.54
1735804950974.13,1295.21,838.72
1735804951004.49,1251.03,858.96
1735804951035.33,1220.94,871.36
1735804951065.04,1198.78,883.04
1735804951095.53,1185.37,888.41
1735804951125.75,1176.83,892.8
1735804951155.37,1170.33,893.29
1735804951185.15,1121.71,883.88
1735804951215.11,993.55,868.1
1735804951244.93,859.72,863.91
1735804951275.59,772.13,840.63
1735804951455.97,640.98,848.62
1735804951487.05,627.0,847.35
1735804951522.1,615.22,848.32
1735804951553.66,604.18,856.42
1735804951578.87,599.24,862.98
1735804951608.73,591.6,861.04
1735804951638.56,582.39,840.13
1735804951669.64,575.52,813.14
1735804951699.98,566.62,785.58
1735804951729.69,559.43,762.98
1735804951759.76,555.81,744.85
1735804951790.47,563.71,732.14
1735804951821.06,574.72,717.02
1735804951850.0,580.56,707.17
1735804951880.52,587.94,699.53
1735804951910.84,593.33,695.8
1735804951941.57,598.4,693.02
1735804951971.73,601.73,692.17
1735804952001.66,604.44,691.98
