time,x,y
1733277394403.84,1447.52,1008.97
1733277394434.46,1445.3,1003.57
1733277394464.7,1439.52,990.68
1733277394494.61,1436.06,982.53
1733277394525.14,1433.99,977.51
1733277394555.74,1433.0,975.17
1733277394585.01,1431.73,973.76
1733277394615.47,1430.21,972.45
1733277394645.61,1429.12,970.56
1733277394675.97,1427.85,967.45
1733277394706.4,1426.23,965.22
1733277394736.58,1424.84,963.57
1733277394766.92,1423.53,961.53
1733277394796.04,1423.23,962.51
1733277394827.24,1396.97,968.26
1733277394856.55,1361.86,961.25
1733277394887.0,1336.56,948.06
1733277394917.74,1312.45,938.36
1733277394947.84,1290.21,936.27
1733277394977.47,1267.72,927.62
1733277395008.05,1235.39,866.67
1733277395038.5,1206.92,768.37
1733277395068.59,1190.7,692.4
1733277395098.8,1181.87,647.28
1733277395128.76,1176.83,619.6
1733277395158.9,1174.46,607.51
1733277395188.96,1174.21,599.97
1733277395219.91,1175.81,584.96
1733277395249.51,1195.23,536.76
1733277395279.93,1218.33,491.81
1733277395309.85,1233.44,463.04
1733277395340.95,1242.82,446.21
1733277395370.91,1247.49,434.26
1733277395400.55,1250.53,427.66
1733277395430.61,1252.75,422.73
1733277395461.43,1257.07,439.69
1733277395491.72,1263.07,528.79
1733277395521.83,1281.23,931.93
1733277395552.51,1299.05,1242.45
1733277395582.18,1305.25,1373.77
1733277395611.93,1294.78,1408.85
1733277395643.02,1279.04,1398.82
1733277395673.03,1271.99,1391.98
1733277395702.83,1266.51,1386.36
1733277395732.82,1265.47,1387.35
1733277395764.02,1263.17,1387.41
1733277395794.06,1262.6,1386.07
1733277395823.52,1263.11,1386.46
1733277395853.63,1264.11,1385.74
1733277395884.08,1264.98,1386.15
1733277395914.34,1259.83,1369.68
1733277395944.72,1237.51,1299.05
1733277395974.96,1207.28,1209.78
1733277396004.52,1182.67,1140.9
1733277396035.28,1167.12,1098.64
1733277396065.38,1158.53,1070.73
1733277396096.04,1152.38,1056.63
1733277396126.05,1146.78,1044.78
1733277396155.83,1146.82,1038.74
1733277396185.93,1146.83,1030.07
1733277396216.89,1145.36,1020.49
1733277396246.57,1145.58,1018.37
1733277396276.67,1145.14,1017.34
1733277396307.14,1142.75,1001.34
1733277396336.68,1134.8,940.63
1733277396367.38,1128.27,872.39
1733277396397.83,1124.99,820.12
1733277396427.4,1122.74,788.88
1733277396458.06,1121.55,769.03
1733277396487.74,1121.48,757.14
1733277396518.88,1119.58,748.08
1733277396548.22,1119.21,743.38
1733277396579.28,1118.63,740.15
1733277396609.76,1118.52,739.07
1733277396639.38,1066.6,732.36
1733277396669.15,923.23,723.57
1733277396699.74,784.77,714.23
1733277396729.86,687.26,708.22
1733277396759.68,629.2,704.07
1733277396790.59,594.36,703.29
1733277396820.43,572.93,703.8
1733277396850.53,559.21,702.77
1733277396880.83,551.52,702.75
1733277396911.06,545.88,701.51
1733277396941.07,556.58,698.35
1733277396971.62,567.62,695.95
1733277397001.68,574.53,694.15
1733277397031.89,578.45,692.81
1733277397062.44,581.31,691.54
1733277397091.96,598.62,691.27
1733277397122.71,650.04,690.47
1733277397152.98,716.69,690.34
1733277397183.51,774.68,691.77
1733277397212.98,816.32,692.05
1733277397243.13,845.83,691.14
1733277397273.96,866.76,689.83
1733277397303.26,880.15,687.75
1733277397333.92,930.14,693.23
1733277397364.45,984.83,696.56
1733277397394.49,1024.68,702.46
1733277397424.78,1051.09,705.38
1733277397455.06,1067.39,705.91
1733277397485.2,1077.69,707.69
1733277397515.69,1083.37,710.95
1733277397545.13,1087.79,711.98
1733277397576.19,1091.8,710.64
1733277397605.63,1093.89,710.32
1733277397636.1,1095.45,711.92
1733277397666.57,1103.14,723.8
1733277397696.56,1166.72,862.96
1733277397726.99,1248.43,1084.84
1733277397757.34,1298.76,1224.79
1733277397787.75,1325.07,1291.3
1733277397817.85,1333.21,1322.42
1733277397847.55,1339.59,1335.84
1733277397878.19,1342.86,1345.03
1733277397908.08,1342.56,1350.96
1733277397938.81,1342.06,1354.96
1733277397968.5,1343.32,1356.97
1733277397998.23,1344.9,1360.75
1733277398028.51,1356.25,1363.23
1733277398059.84,1367.64,1362.55
1733277398089.69,1375.75,1362.28
1733277398120.11,1381.71,1362.79
1733277398149.77,1382.41,1363.83
1733277398180.39,1387.02,1363.83
1733277398210.28,1390.12,1363.48
1733277398240.58,1391.27,1364.45
1733277398270.24,1393.83,1364.7
1733277398301.45,1383.89,1332.72
1733277398331.68,1323.56,1165.09
1733277398360.8,1261.93,984.91
1733277398391.34,1226.47,884.49
1733277398422.07,1206.88,833.33
1733277398452.3,1195.34,811.77
1733277398482.3,1188.41,802.74
1733277398512.72,1190.1,795.13
1733277398542.29,1096.92,786.03
1733277398571.82,923.13,764.74
1733277398603.13,797.01,749.32
1733277398633.32,721.23,737.72
1733277398663.57,674.66,731.42
1733277398693.93,648.03,727.65
1733277398724.18,708.84,727.1
1733277398754.77,777.63,729.52
1733277398784.29,842.89,731.45
1733277398814.15,918.68,736.45
1733277398844.85,984.65,736.3
1733277398875.03,1035.79,735.86
1733277398904.83,1069.18,735.82
1733277398935.67,1092.13,736.96
1733277398964.9,1107.62,737.7
1733277398995.89,1116.83,737.91
1733277399026.41,1121.84,738.42
1733277399055.52,1127.12,738.58
1733277399086.57,1130.69,739.0
1733277399116.47,1133.72,739.41
1733277399146.35,1135.5,741.47
1733277399177.07,1162.8,798.46
1733277399207.2,1235.74,1006.79
1733277399237.59,1296.0,1188.67
1733277399267.46,1330.46,1291.53
1733277399297.71,1347.95,1339.32
1733277399328.47,1353.67,1365.11
1733277399358.18,1356.69,1375.21
1733277399388.95,1357.7,1380.69
1733277399418.61,1362.02,1382.66
1733277399449.11,1363.78,1384.35
1733277399479.04,1362.2,1385.33
1733277399509.01,1361.72,1386.76
1733277399539.54,1360.01,1389.64
1733277399570.22,1359.86,1390.75
1733277399600.7,1354.67,1369.21
1733277399629.87,1303.89,1162.16
