time,x,y
1733277425217.1,1272.97,442.6
1733277425246.77,1275.6,428.0
1733277425276.98,1277.24,423.32
1733277425307.85,1278.45,421.81
1733277425337.95,1280.14,419.53
1733277425367.9,1280.23,419.1
1733277425397.94,1278.28,420.41
1733277425428.52,1277.42,420.69
1733277425458.43,1279.2,422.05
1733277425488.71,1279.56,422.64
1733277425518.43,1267.21,433.18
1733277425548.12,1184.15,492.73
1733277425579.32,1017.2,585.01
1733277425610.1,896.08,652.69
1733277425639.49,820.87,692.88
1733277425670.08,776.57,713.41
1733277425699.69,755.06,728.41
1733277425730.66,740.15,737.96
1733277425760.64,735.97,748.61
1733277425790.84,731.91,749.33
1733277425820.25,731.46,752.06
1733277425851.18,729.82,753.55
1733277425881.49,713.44,713.48
1733277425911.54,656.58,537.35
1733277425940.94,590.31,332.33
1733277425971.54,549.39,217.26
1733277426001.78,532.15,160.15
1733277426032.69,520.97,134.32
1733277426062.78,519.21,120.38
1733277426092.83,542.86,100.92
1733277426123.79,572.56,87.82
1733277426153.58,589.98,78.1
1733277426183.87,601.37,71.52
1733277426213.97,607.23,68.03
1733277426244.15,611.08,65.36
1733277426273.76,615.43,65.55
1733277426304.62,619.12,65.75
1733277426334.51,648.17,82.17
1733277426363.72,805.92,194.66
1733277426395.59,1144.78,489.45
1733277426425.4,1365.11,685.92
1733277426455.13,1461.48,767.13
1733277426485.97,1505.02,800.85
1733277426515.88,1519.0,809.78
1733277426546.12,1523.03,815.05
1733277426576.13,1523.22,818.77
1733277426606.57,1525.28,820.96
1733277426636.96,1525.29,823.42
1733277426666.54,1526.86,824.1
1733277426696.81,1525.91,826.17
1733277426727.29,1526.86,828.11
1733277426757.59,1526.25,829.89
1733277426788.02,1525.9,831.56
1733277426818.44,1526.63,832.67
1733277426847.97,1526.95,832.53
1733277426878.36,1527.67,832.8
1733277426907.58,1552.78,826.08
1733277426938.44,1600.16,816.39
1733277426968.11,1647.07,805.82
1733277426998.62,1683.97,795.84
1733277427029.13,1707.46,789.9
1733277427059.13,1727.87,784.75
1733277427089.67,1740.67,780.21
1733277427119.9,1749.6,779.05
1733277427150.5,1757.58,775.74
1733277427180.54,1755.49,774.16
1733277427210.63,1736.9,778.51
1733277427241.16,1726.25,780.1
1733277427270.98,1706.02,782.59
1733277427301.31,1680.82,786.84
1733277427332.62,1656.22,790.53
1733277427361.36,1635.2,795.08
1733277427392.12,1619.19,797.34
1733277427422.5,1567.25,787.34
